"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","Arduino_Pro_Mini_Socket","","","","arduino-library:Arduino_Pro_Mini_Socket","https://docs.arduino.cc/retired/boards/arduino-pro-mini"
"C1","1","10 uf","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C2","1",".1 uf","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"DS1","1","WC1602A","","","","Display:WC1602A","http://www.wincomlcd.com/pdf/WC1602A-SFYLYHTC06.pdf"
"J1,J2","2","Conn_01x02_Socket","DNP","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J3","1","Conn_01x06_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"M1","1","GPS","","","","Adafruit:Adafruit Ultimate GPS",""
"M2","1","Power Module","","","","Pololu_PWR_SW_LV:Pololu LV Power Switch",""
"R1","1","220","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R2,R3,R4","3","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"RV1","1","10K","","","","Potentiometer_THT:Potentiometer_Vishay_148-149_Single_Vertical","~"
"SW1,SW2,SW3","3","SW_Push","","","","KSS223G_LFG:KSS223G LFG","~"
